OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10 
?,1573,1573,1573,1573,1573,1573,1573,1573,1573,1573
?,85,85,85,85,85,85,85,85,85,85
?,451,451,451,451,451,451,451,451,451,451
?,56,56,56,56,56,56,56,56,56,56
?,2640,2640,2640,2640,2640,2640,2640,2640,2640,2640
?,180,180,180,180,180,180,180,180,180,180
?,542,542,542,542,542,542,542,542,542,542
?,1018,1018,1018,1018,1018,1018,1018,1018,1018,1018
?,343,343,343,343,343,343,343,343,343,343
?,1097,1097,1097,1097,1097,1097,1097,1097,1097,1097
?,585,585,585,585,585,585,585,585,585,585
?,2570,2570,2570,2570,2570,2570,2570,2570,2570,2570
?,2457,2457,2457,2457,2457,2457,2457,2457,2457,2457
?,56,56,56,56,56,56,56,56,56,56
?,39,39,39,39,39,39,39,39,39,39
?,436,436,436,436,436,436,436,436,436,436
?,2222,2222,2222,2222,2222,2222,2222,2222,2222,2222
?,1387,1387,1387,1387,1387,1387,1387,1387,1387,1387
?,2898,2898,2898,2898,2898,2898,2898,2898,2898,2898
?,349,349,349,349,349,349,349,349,349,349
?,829,829,829,829,829,829,829,829,829,829
?,571,571,571,571,571,571,571,571,571,571
?,1968,1968,1968,1968,1968,1968,1968,1968,1968,1968
?,2306,2306,2306,2306,2306,2306,2306,2306,2306,2306
?,1820,1820,1820,1820,1820,1820,1820,1820,1820,1820
?,669,669,669,669,669,669,669,669,669,669
?,1260,1260,1260,1260,1260,1260,1260,1260,1260,1260
?,1359,1359,1359,1359,1359,1359,1359,1359,1359,1359
?,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962
?,633,633,633,633,633,633,633,633,633,633
?,999,999,999,999,999,999,999,999,999,999
?,229,229,229,229,229,229,229,229,229,229
?,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227
?,2835,2835,2835,2835,2835,2835,2835,2835,2835,2835
?,1096,1096,1096,1096,1096,1096,1096,1096,1096,1096
?,2571,2571,2571,2571,2571,2571,2571,2571,2571,2571
?,2227,2227,2227,2227,2227,2227,2227,2227,2227,2227
?,505,505,505,505,505,505,505,505,505,505
?,87,87,87,87,87,87,87,87,87,87
?,183,183,183,183,183,183,183,183,183,183
?,422,422,422,422,422,422,422,422,422,422
?,2231,2231,2231,2231,2231,2231,2231,2231,2231,2231
?,1216,1216,1216,1216,1216,1216,1216,1216,1216,1216
?,421,421,421,421,421,421,421,421,421,421
?,2096,2096,2096,2096,2096,2096,2096,2096,2096,2096
?,1702,1702,1702,1702,1702,1702,1702,1702,1702,1702
?,581,581,581,581,581,581,581,581,581,581
?,5,5,5,5,5,5,5,5,5,5
?,919,919,919,919,919,919,919,919,919,919
?,99,99,99,99,99,99,99,99,99,99
?,929,929,929,929,929,929,929,929,929,929
?,1750,1750,1750,1750,1750,1750,1750,1750,1750,1750
?,1579,1579,1579,1579,1579,1579,1579,1579,1579,1579
?,604,604,604,604,604,604,604,604,604,604
?,1448,1448,1448,1448,1448,1448,1448,1448,1448,1448
?,2685,2685,2685,2685,2685,2685,2685,2685,2685,2685
?,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175
?,926,926,926,926,926,926,926,926,926,926
?,2804,2804,2804,2804,2804,2804,2804,2804,2804,2804
?,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576
?,2813,2813,2813,2813,2813,2813,2813,2813,2813,2813
?,2929,2929,2929,2929,2929,2929,2929,2929,2929,2929
?,461,461,461,461,461,461,461,461,461,461
?,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
?,695,695,695,695,695,695,695,695,695,695
?,452,452,452,452,452,452,452,452,452,452
?,920,920,920,920,920,920,920,920,920,920
?,417,417,417,417,417,417,417,417,417,417
?,1155,1155,1155,1155,1155,1155,1155,1155,1155,1155
?,1464,1464,1464,1464,1464,1464,1464,1464,1464,1464
?,313,313,313,313,313,313,313,313,313,313
?,2522,2522,2522,2522,2522,2522,2522,2522,2522,2522
?,1367,1367,1367,1367,1367,1367,1367,1367,1367,1367
?,485,485,485,485,485,485,485,485,485,485
?,1477,1477,1477,1477,1477,1477,1477,1477,1477,1477
?,348,348,348,348,348,348,348,348,348,348
?,178,178,178,178,178,178,178,178,178,178
?,2477,2477,2477,2477,2477,2477,2477,2477,2477,2477
?,619,619,619,619,619,619,619,619,619,619
?,730,730,730,730,730,730,730,730,730,730
?,1756,1756,1756,1756,1756,1756,1756,1756,1756,1756
?,2173,2173,2173,2173,2173,2173,2173,2173,2173,2173
?,1372,1372,1372,1372,1372,1372,1372,1372,1372,1372
?,2457,2457,2457,2457,2457,2457,2457,2457,2457,2457
?,743,743,743,743,743,743,743,743,743,743
?,2783,2783,2783,2783,2783,2783,2783,2783,2783,2783
?,1742,1742,1742,1742,1742,1742,1742,1742,1742,1742
?,616,616,616,616,616,616,616,616,616,616
?,2734,2734,2734,2734,2734,2734,2734,2734,2734,2734
?,2815,2815,2815,2815,2815,2815,2815,2815,2815,2815
?,1236,1236,1236,1236,1236,1236,1236,1236,1236,1236
?,2560,2560,2560,2560,2560,2560,2560,2560,2560,2560
?,1176,1176,1176,1176,1176,1176,1176,1176,1176,1176
?,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427
?,426,426,426,426,426,426,426,426,426,426
?,1111,1111,1111,1111,1111,1111,1111,1111,1111,1111
?,2045,2045,2045,2045,2045,2045,2045,2045,2045,2045
?,2711,2711,2711,2711,2711,2711,2711,2711,2711,2711
?,1512,1512,1512,1512,1512,1512,1512,1512,1512,1512
?,1088,1088,1088,1088,1088,1088,1088,1088,1088,1088
?,2914,2914,2914,2914,2914,2914,2914,2914,2914,2914
?,313,313,313,313,313,313,313,313,313,313
?,9,9,9,9,9,9,9,9,9,9
?,609,609,609,609,609,609,609,609,609,609
?,2687,2687,2687,2687,2687,2687,2687,2687,2687,2687
?,601,601,601,601,601,601,601,601,601,601
?,1312,1312,1312,1312,1312,1312,1312,1312,1312,1312
?,606,606,606,606,606,606,606,606,606,606
?,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
?,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830
?,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960
?,276,276,276,276,276,276,276,276,276,276
?,464,464,464,464,464,464,464,464,464,464
?,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367
?,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751
?,1141,1141,1141,1141,1141,1141,1141,1141,1141,1141
?,593,593,593,593,593,593,593,593,593,593
?,371,371,371,371,371,371,371,371,371,371
?,1324,1324,1324,1324,1324,1324,1324,1324,1324,1324
?,523,523,523,523,523,523,523,523,523,523
?,745,745,745,745,745,745,745,745,745,745
?,1578,1578,1578,1578,1578,1578,1578,1578,1578,1578
?,1445,1445,1445,1445,1445,1445,1445,1445,1445,1445
?,1308,1308,1308,1308,1308,1308,1308,1308,1308,1308
?,2025,2025,2025,2025,2025,2025,2025,2025,2025,2025
?,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737
?,1972,1972,1972,1972,1972,1972,1972,1972,1972,1972
?,2841,2841,2841,2841,2841,2841,2841,2841,2841,2841
?,1696,1696,1696,1696,1696,1696,1696,1696,1696,1696
?,2465,2465,2465,2465,2465,2465,2465,2465,2465,2465
?,2608,2608,2608,2608,2608,2608,2608,2608,2608,2608
?,1366,1366,1366,1366,1366,1366,1366,1366,1366,1366
?,567,567,567,567,567,567,567,567,567,567
?,2679,2679,2679,2679,2679,2679,2679,2679,2679,2679
?,1008,1008,1008,1008,1008,1008,1008,1008,1008,1008
?,1570,1570,1570,1570,1570,1570,1570,1570,1570,1570
?,1715,1715,1715,1715,1715,1715,1715,1715,1715,1715
?,2251,2251,2251,2251,2251,2251,2251,2251,2251,2251
?,2037,2037,2037,2037,2037,2037,2037,2037,2037,2037
?,2207,2207,2207,2207,2207,2207,2207,2207,2207,2207
?,2187,2187,2187,2187,2187,2187,2187,2187,2187,2187
?,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
?,2182,2182,2182,2182,2182,2182,2182,2182,2182,2182
?,2197,2197,2197,2197,2197,2197,2197,2197,2197,2197
?,943,943,943,943,943,943,943,943,943,943
?,1576,1576,1576,1576,1576,1576,1576,1576,1576,1576
?,343,343,343,343,343,343,343,343,343,343
?,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380
?,2929,2929,2929,2929,2929,2929,2929,2929,2929,2929
?,1728,1728,1728,1728,1728,1728,1728,1728,1728,1728
?,2159,2159,2159,2159,2159,2159,2159,2159,2159,2159
?,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367
?,2841,2841,2841,2841,2841,2841,2841,2841,2841,2841
?,899,899,899,899,899,899,899,899,899,899
?,2880,2880,2880,2880,2880,2880,2880,2880,2880,2880
?,358,358,358,358,358,358,358,358,358,358
?,964,964,964,964,964,964,964,964,964,964
?,1482,1482,1482,1482,1482,1482,1482,1482,1482,1482
?,12,12,12,12,12,12,12,12,12,12
?,833,833,833,833,833,833,833,833,833,833
?,71,71,71,71,71,71,71,71,71,71
?,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485
?,2288,2288,2288,2288,2288,2288,2288,2288,2288,2288
?,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942
?,548,548,548,548,548,548,548,548,548,548
?,452,452,452,452,452,452,452,452,452,452
?,245,245,245,245,245,245,245,245,245,245
?,1431,1431,1431,1431,1431,1431,1431,1431,1431,1431
?,1479,1479,1479,1479,1479,1479,1479,1479,1479,1479
?,571,571,571,571,571,571,571,571,571,571
?,1208,1208,1208,1208,1208,1208,1208,1208,1208,1208
?,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886
?,591,591,591,591,591,591,591,591,591,591
?,2259,2259,2259,2259,2259,2259,2259,2259,2259,2259
?,1725,1725,1725,1725,1725,1725,1725,1725,1725,1725
?,994,994,994,994,994,994,994,994,994,994
?,864,864,864,864,864,864,864,864,864,864
?,920,920,920,920,920,920,920,920,920,920
?,229,229,229,229,229,229,229,229,229,229
?,565,565,565,565,565,565,565,565,565,565
?,481,481,481,481,481,481,481,481,481,481
?,2850,2850,2850,2850,2850,2850,2850,2850,2850,2850
?,2884,2884,2884,2884,2884,2884,2884,2884,2884,2884
?,587,587,587,587,587,587,587,587,587,587
?,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547
?,108,108,108,108,108,108,108,108,108,108
?,2852,2852,2852,2852,2852,2852,2852,2852,2852,2852
?,1740,1740,1740,1740,1740,1740,1740,1740,1740,1740
?,1523,1523,1523,1523,1523,1523,1523,1523,1523,1523
?,222,222,222,222,222,222,222,222,222,222
?,2873,2873,2873,2873,2873,2873,2873,2873,2873,2873
?,435,435,435,435,435,435,435,435,435,435
?,2715,2715,2715,2715,2715,2715,2715,2715,2715,2715
?,2383,2383,2383,2383,2383,2383,2383,2383,2383,2383
?,303,303,303,303,303,303,303,303,303,303
?,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954
?,2433,2433,2433,2433,2433,2433,2433,2433,2433,2433
?,648,648,648,648,648,648,648,648,648,648
?,124,124,124,124,124,124,124,124,124,124
?,602,602,602,602,602,602,602,602,602,602
?,1497,1497,1497,1497,1497,1497,1497,1497,1497,1497
?,579,579,579,579,579,579,579,579,579,579
?,324,324,324,324,324,324,324,324,324,324
?,1004,1004,1004,1004,1004,1004,1004,1004,1004,1004
?,316,316,316,316,316,316,316,316,316,316
?,52,52,52,52,52,52,52,52,52,52
?,2332,2332,2332,2332,2332,2332,2332,2332,2332,2332
?,1706,1706,1706,1706,1706,1706,1706,1706,1706,1706
?,614,614,614,614,614,614,614,614,614,614
?,748,748,748,748,748,748,748,748,748,748
?,1925,1925,1925,1925,1925,1925,1925,1925,1925,1925
?,574,574,574,574,574,574,574,574,574,574
?,2161,2161,2161,2161,2161,2161,2161,2161,2161,2161
?,2862,2862,2862,2862,2862,2862,2862,2862,2862,2862
?,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227
?,1926,1926,1926,1926,1926,1926,1926,1926,1926,1926
?,1686,1686,1686,1686,1686,1686,1686,1686,1686,1686
?,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382
?,1819,1819,1819,1819,1819,1819,1819,1819,1819,1819
?,2642,2642,2642,2642,2642,2642,2642,2642,2642,2642
?,2848,2848,2848,2848,2848,2848,2848,2848,2848,2848
?,55,55,55,55,55,55,55,55,55,55
?,1175,1175,1175,1175,1175,1175,1175,1175,1175,1175
?,456,456,456,456,456,456,456,456,456,456
?,639,639,639,639,639,639,639,639,639,639
?,246,246,246,246,246,246,246,246,246,246
?,2632,2632,2632,2632,2632,2632,2632,2632,2632,2632
?,132,132,132,132,132,132,132,132,132,132
?,2475,2475,2475,2475,2475,2475,2475,2475,2475,2475
?,711,711,711,711,711,711,711,711,711,711
?,2062,2062,2062,2062,2062,2062,2062,2062,2062,2062
?,657,657,657,657,657,657,657,657,657,657
?,45,45,45,45,45,45,45,45,45,45
?,1624,1624,1624,1624,1624,1624,1624,1624,1624,1624
?,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736
?,2785,2785,2785,2785,2785,2785,2785,2785,2785,2785
?,1861,1861,1861,1861,1861,1861,1861,1861,1861,1861
?,2270,2270,2270,2270,2270,2270,2270,2270,2270,2270
?,2914,2914,2914,2914,2914,2914,2914,2914,2914,2914
?,1057,1057,1057,1057,1057,1057,1057,1057,1057,1057
?,2344,2344,2344,2344,2344,2344,2344,2344,2344,2344
?,2056,2056,2056,2056,2056,2056,2056,2056,2056,2056
?,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254
?,2906,2906,2906,2906,2906,2906,2906,2906,2906,2906
?,932,932,932,932,932,932,932,932,932,932
?,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736
?,643,643,643,643,643,643,643,643,643,643
?,1114,1114,1114,1114,1114,1114,1114,1114,1114,1114
?,377,377,377,377,377,377,377,377,377,377
?,2137,2137,2137,2137,2137,2137,2137,2137,2137,2137
?,1547,1547,1547,1547,1547,1547,1547,1547,1547,1547
?,513,513,513,513,513,513,513,513,513,513
?,868,868,868,868,868,868,868,868,868,868
?,1641,1641,1641,1641,1641,1641,1641,1641,1641,1641
?,2536,2536,2536,2536,2536,2536,2536,2536,2536,2536
?,230,230,230,230,230,230,230,230,230,230
?,897,897,897,897,897,897,897,897,897,897
?,1607,1607,1607,1607,1607,1607,1607,1607,1607,1607
?,753,753,753,753,753,753,753,753,753,753
?,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291
?,2479,2479,2479,2479,2479,2479,2479,2479,2479,2479
?,317,317,317,317,317,317,317,317,317,317
?,2837,2837,2837,2837,2837,2837,2837,2837,2837,2837
?,1919,1919,1919,1919,1919,1919,1919,1919,1919,1919
?,1956,1956,1956,1956,1956,1956,1956,1956,1956,1956
?,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283
?,2674,2674,2674,2674,2674,2674,2674,2674,2674,2674
?,2630,2630,2630,2630,2630,2630,2630,2630,2630,2630
?,1660,1660,1660,1660,1660,1660,1660,1660,1660,1660
?,1559,1559,1559,1559,1559,1559,1559,1559,1559,1559
?,676,676,676,676,676,676,676,676,676,676
?,224,224,224,224,224,224,224,224,224,224
?,1522,1522,1522,1522,1522,1522,1522,1522,1522,1522
?,2649,2649,2649,2649,2649,2649,2649,2649,2649,2649
?,1738,1738,1738,1738,1738,1738,1738,1738,1738,1738
?,798,798,798,798,798,798,798,798,798,798
?,1106,1106,1106,1106,1106,1106,1106,1106,1106,1106
?,445,445,445,445,445,445,445,445,445,445
?,428,428,428,428,428,428,428,428,428,428
?,319,319,319,319,319,319,319,319,319,319
?,1486,1486,1486,1486,1486,1486,1486,1486,1486,1486
?,2471,2471,2471,2471,2471,2471,2471,2471,2471,2471
?,1375,1375,1375,1375,1375,1375,1375,1375,1375,1375
?,115,115,115,115,115,115,115,115,115,115
?,982,982,982,982,982,982,982,982,982,982
?,1156,1156,1156,1156,1156,1156,1156,1156,1156,1156
?,667,667,667,667,667,667,667,667,667,667
?,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219
?,437,437,437,437,437,437,437,437,437,437
?,268,268,268,268,268,268,268,268,268,268
?,868,868,868,868,868,868,868,868,868,868
?,2446,2446,2446,2446,2446,2446,2446,2446,2446,2446
?,45,45,45,45,45,45,45,45,45,45
?,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267
?,769,769,769,769,769,769,769,769,769,769
?,2260,2260,2260,2260,2260,2260,2260,2260,2260,2260
?,827,827,827,827,827,827,827,827,827,827
?,2615,2615,2615,2615,2615,2615,2615,2615,2615,2615
?,133,133,133,133,133,133,133,133,133,133
?,985,985,985,985,985,985,985,985,985,985
?,1103,1103,1103,1103,1103,1103,1103,1103,1103,1103
?,349,349,349,349,349,349,349,349,349,349
?,2336,2336,2336,2336,2336,2336,2336,2336,2336,2336
?,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314
?,184,184,184,184,184,184,184,184,184,184
?,2310,2310,2310,2310,2310,2310,2310,2310,2310,2310
?,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982
?,188,188,188,188,188,188,188,188,188,188
?,197,197,197,197,197,197,197,197,197,197
?,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289
?,382,382,382,382,382,382,382,382,382,382
?,1265,1265,1265,1265,1265,1265,1265,1265,1265,1265
?,35,35,35,35,35,35,35,35,35,35
?,1461,1461,1461,1461,1461,1461,1461,1461,1461,1461
?,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157
?,1631,1631,1631,1631,1631,1631,1631,1631,1631,1631
?,2049,2049,2049,2049,2049,2049,2049,2049,2049,2049
?,799,799,799,799,799,799,799,799,799,799
?,1289,1289,1289,1289,1289,1289,1289,1289,1289,1289
?,1601,1601,1601,1601,1601,1601,1601,1601,1601,1601
?,1458,1458,1458,1458,1458,1458,1458,1458,1458,1458
?,531,531,531,531,531,531,531,531,531,531
?,2879,2879,2879,2879,2879,2879,2879,2879,2879,2879
?,2764,2764,2764,2764,2764,2764,2764,2764,2764,2764
?,399,399,399,399,399,399,399,399,399,399
?,1358,1358,1358,1358,1358,1358,1358,1358,1358,1358
?,1669,1669,1669,1669,1669,1669,1669,1669,1669,1669
?,2063,2063,2063,2063,2063,2063,2063,2063,2063,2063
?,414,414,414,414,414,414,414,414,414,414
?,2057,2057,2057,2057,2057,2057,2057,2057,2057,2057
?,616,616,616,616,616,616,616,616,616,616
?,98,98,98,98,98,98,98,98,98,98
?,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406
?,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566
?,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954
?,2402,2402,2402,2402,2402,2402,2402,2402,2402,2402
?,154,154,154,154,154,154,154,154,154,154
?,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189
?,661,661,661,661,661,661,661,661,661,661
?,621,621,621,621,621,621,621,621,621,621
?,2796,2796,2796,2796,2796,2796,2796,2796,2796,2796
?,1897,1897,1897,1897,1897,1897,1897,1897,1897,1897
?,323,323,323,323,323,323,323,323,323,323
?,2564,2564,2564,2564,2564,2564,2564,2564,2564,2564
?,383,383,383,383,383,383,383,383,383,383
?,2943,2943,2943,2943,2943,2943,2943,2943,2943,2943
?,949,949,949,949,949,949,949,949,949,949
?,884,884,884,884,884,884,884,884,884,884
?,2792,2792,2792,2792,2792,2792,2792,2792,2792,2792
?,2680,2680,2680,2680,2680,2680,2680,2680,2680,2680
?,577,577,577,577,577,577,577,577,577,577
?,2944,2944,2944,2944,2944,2944,2944,2944,2944,2944
?,660,660,660,660,660,660,660,660,660,660
?,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055
?,2115,2115,2115,2115,2115,2115,2115,2115,2115,2115
?,2494,2494,2494,2494,2494,2494,2494,2494,2494,2494
?,2669,2669,2669,2669,2669,2669,2669,2669,2669,2669
?,2144,2144,2144,2144,2144,2144,2144,2144,2144,2144
?,1399,1399,1399,1399,1399,1399,1399,1399,1399,1399
?,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833
?,538,538,538,538,538,538,538,538,538,538
?,1389,1389,1389,1389,1389,1389,1389,1389,1389,1389
?,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192
?,1476,1476,1476,1476,1476,1476,1476,1476,1476,1476
?,2554,2554,2554,2554,2554,2554,2554,2554,2554,2554
?,1765,1765,1765,1765,1765,1765,1765,1765,1765,1765
?,164,164,164,164,164,164,164,164,164,164
?,2920,2920,2920,2920,2920,2920,2920,2920,2920,2920
?,2798,2798,2798,2798,2798,2798,2798,2798,2798,2798
?,1588,1588,1588,1588,1588,1588,1588,1588,1588,1588
?,980,980,980,980,980,980,980,980,980,980
?,856,856,856,856,856,856,856,856,856,856
?,2501,2501,2501,2501,2501,2501,2501,2501,2501,2501
?,2486,2486,2486,2486,2486,2486,2486,2486,2486,2486
?,308,308,308,308,308,308,308,308,308,308
?,625,625,625,625,625,625,625,625,625,625
?,2323,2323,2323,2323,2323,2323,2323,2323,2323,2323
?,2572,2572,2572,2572,2572,2572,2572,2572,2572,2572
?,2038,2038,2038,2038,2038,2038,2038,2038,2038,2038
